Trade 1 ID,Trade 2 ID,Symbol,Category
44546230,44681840,EURUSD,Reverse Trade
44546230,1743933942365701449,EURUSD,Partial Copy
44546230,45763708,EURUSD,Copy Trade
44546230,1743933942406015360,EURUSD,Partial Copy
44546230,46134271,EURUSD,Partial Copy
44546230,1743933942418912960,EURUSD,Partial Copy
44546230,46442535,EURUSD,Partial Copy
44546230,46879071,EURUSD,Copy Trade
44546230,1743933942447201143,EURUSD,Partial Copy
44546230,47034530,EURUSD,Reverse Trade
44546230,47133490,EURUSD,Copy Trade
44546230,47158310,EURUSD,Partial Copy
44546230,47269018,EURUSD,Partial Copy
44546230,47577213,EURUSD,Reverse Trade
44551707,1743933942368448941,EURUSD,Partial Copy
44551707,44797294,EURUSD,Partial Copy
44551707,1743933942365701449,EURUSD,Partial Copy
44551707,1743933942402159302,EURUSD,Partial Copy
44551707,1743933942406247509,EURUSD,Copy Trade
44551707,1743933942406015360,EURUSD,Partial Copy
44551707,46134271,EURUSD,Partial Copy
44551707,46169867,EURUSD,Reverse Trade
44551707,1743933942418912960,EURUSD,Partial Copy
44551707,1743933942447201143,EURUSD,Partial Copy
44551707,47116736,EURUSD,Partial Copy
44551707,47158310,EURUSD,Partial Copy
44551707,47179220,EURUSD,Reverse Trade
44551707,1743933942460591351,EURUSD,Reverse Trade
44588763,44593368,EURUSD,Partial Copy
44588763,44676799,EURUSD,Partial Copy
44588763,1743933942366851126,EURUSD,Partial Copy
44588763,45683177,EURUSD,Partial Copy
44588763,1742642088783569356,EURUSD,Partial Copy
44588763,1743933942413874505,EURUSD,Partial Copy
44588763,38207964,EURUSD,Partial Copy
44588763,46445752,EURUSD,Partial Copy
44588763,47135859,EURUSD,Partial Copy
44593368,44676799,EURUSD,Copy Trade
44593368,1743933942366851126,EURUSD,Partial Copy
44593368,45683177,EURUSD,Reverse Trade
44593368,1742642088783569356,EURUSD,Copy Trade
44593368,1743933942413874505,EURUSD,Partial Copy
44593368,38207964,EURUSD,Copy Trade
44593368,46445752,EURUSD,Reverse Trade
44593368,47135859,EURUSD,Reverse Trade
44610856,44630767,EURUSD,Reverse Trade
44610856,44686094,EURUSD,Copy Trade
44610856,1743933942364315175,EURUSD,Copy Trade
44610856,44833225,EURUSD,Reverse Trade
44610856,45106927,EURUSD,Copy Trade
44610856,1743933942407874844,EURUSD,Copy Trade
44610856,46121439,EURUSD,Copy Trade
44610856,1742642088788213589,EURUSD,Reverse Trade
44610856,1742642088805447586,EURUSD,Copy Trade
44626042,45693522,EURUSD,Reverse Trade
44626042,45770880,EURUSD,Copy Trade
44626042,46688097,EURUSD,Reverse Trade
44630767,44686094,EURUSD,Reverse Trade
44630767,1743933942364315175,EURUSD,Reverse Trade
44630767,44833225,EURUSD,Copy Trade
44630767,45106927,EURUSD,Reverse Trade
44630767,1743933942407874844,EURUSD,Reverse Trade
44630767,46121439,EURUSD,Reverse Trade
44630767,1742642088788213589,EURUSD,Copy Trade
44630767,1742642088805447586,EURUSD,Reverse Trade
44660724,44681840,EURUSD,Reverse Trade
44660724,1743933942365701449,EURUSD,Partial Copy
44660724,45763708,EURUSD,Copy Trade
44660724,1743933942406015360,EURUSD,Partial Copy
44660724,46134271,EURUSD,Partial Copy
44660724,1743933942418912960,EURUSD,Partial Copy
44660724,46442535,EURUSD,Partial Copy
44660724,46879071,EURUSD,Copy Trade
44660724,1743933942447201143,EURUSD,Partial Copy
44660724,47034530,EURUSD,Reverse Trade
44660724,47133490,EURUSD,Copy Trade
44660724,47158310,EURUSD,Partial Copy
44660724,47269018,EURUSD,Partial Copy
44660724,47577213,EURUSD,Reverse Trade
44676799,1743933942366851126,EURUSD,Partial Copy
44676799,45683177,EURUSD,Reverse Trade
44676799,1742642088783569356,EURUSD,Copy Trade
44676799,1743933942413874505,EURUSD,Partial Copy
44676799,38207964,EURUSD,Copy Trade
44676799,46445752,EURUSD,Reverse Trade
44676799,47135859,EURUSD,Reverse Trade
44681840,1743933942365701449,EURUSD,Partial Copy
44681840,45763708,EURUSD,Reverse Trade
44681840,1743933942406015360,EURUSD,Partial Copy
44681840,46134271,EURUSD,Partial Copy
44681840,1743933942418912960,EURUSD,Partial Copy
44681840,46442535,EURUSD,Partial Copy
44681840,46879071,EURUSD,Reverse Trade
44681840,1743933942447201143,EURUSD,Partial Copy
44681840,47034530,EURUSD,Copy Trade
44681840,47133490,EURUSD,Reverse Trade
44681840,47158310,EURUSD,Partial Copy
44681840,47269018,EURUSD,Partial Copy
44681840,47577213,EURUSD,Copy Trade
44686094,1743933942364315175,EURUSD,Copy Trade
44686094,44833225,EURUSD,Reverse Trade
44686094,45106927,EURUSD,Copy Trade
44686094,1743933942407874844,EURUSD,Copy Trade
44686094,46121439,EURUSD,Copy Trade
44686094,1742642088788213589,EURUSD,Reverse Trade
44686094,1742642088805447586,EURUSD,Copy Trade
44736824,44894400,EURUSD,Partial Copy
44736824,1742642088741282544,EURUSD,Partial Copy
44736824,1742642088781898335,EURUSD,Partial Copy
44736824,47137410,EURUSD,Partial Copy
44736824,47381241,EURUSD,Partial Copy
44736824,38222742,EURUSD,Partial Copy
44736824,1742642088823170549,EURUSD,Partial Copy
1743933942368448941,44797294,EURUSD,Partial Copy
1743933942368448941,1743933942402159302,EURUSD,Partial Copy
1743933942368448941,1743933942406247509,EURUSD,Partial Copy
1743933942368448941,1743933942406015360,EURUSD,Partial Copy
1743933942368448941,46134271,EURUSD,Partial Copy
1743933942368448941,46169867,EURUSD,Partial Copy
1743933942368448941,1743933942418912960,EURUSD,Partial Copy
1743933942368448941,1743933942447201143,EURUSD,Partial Copy
1743933942368448941,47116736,EURUSD,Partial Copy
1743933942368448941,47179220,EURUSD,Partial Copy
1743933942368448941,1743933942460591351,EURUSD,Partial Copy
1743933942364315175,44833225,EURUSD,Reverse Trade
1743933942364315175,45106927,EURUSD,Copy Trade
1743933942364315175,1743933942407874844,EURUSD,Copy Trade
1743933942364315175,46121439,EURUSD,Copy Trade
1743933942364315175,1742642088788213589,EURUSD,Reverse Trade
1743933942364315175,1742642088805447586,EURUSD,Copy Trade
44797294,38188624,EURUSD,Partial Copy
44797294,45479996,EURUSD,Partial Copy
44797294,45697869,EURUSD,Partial Copy
44797294,1743933942402159302,EURUSD,Partial Copy
44797294,45823705,EURUSD,Partial Copy
44797294,1743933942406247509,EURUSD,Partial Copy
44797294,46169867,EURUSD,Partial Copy
44797294,46465026,EURUSD,Partial Copy
44797294,46627259,EURUSD,Partial Copy
44797294,46898488,EURUSD,Partial Copy
44797294,47116736,EURUSD,Partial Copy
44797294,47179220,EURUSD,Partial Copy
44797294,1743933942460591351,EURUSD,Partial Copy
38185951,38188624,EURUSD,Partial Copy
38185951,38188725,EURUSD,Partial Copy
